"","DATE","canopycover","covermin","covermax","canopycoverSDmax","canopycoverSDmin","groups"
"1",2021-06-04,47.0224536283762,43.07187,85.1515,49.5965575464366,44.4483497103158,"H"
"2",2021-06-14,46.379759192971,43.07187,85.1515,48.9716367093323,43.7878816766098,"H"
"3",2021-06-24,39.3397573162027,43.07187,85.1515,42.1540086515222,36.5255059808832,"A"
"4",2021-07-04,44.5888717156105,43.07187,85.1515,47.2322874915522,41.9454559396688,"H"
"5",2021-07-09,42.1867881548975,43.07187,85.1515,44.9044191556646,39.4691571541303,"A"
"6",2021-07-19,60.2348322626695,43.07187,85.1515,62.5091695228769,57.9604950024622,"H"
"7",2021-07-24,46.7904328018223,43.07187,85.1515,49.3709109626381,44.2099546410065,"H"
"8",2021-08-03,47.5392124959323,43.07187,85.1515,50.0992877249947,44.9791372668699,"H"
"9",2021-08-08,49.6911812561015,43.07187,85.1515,52.1952085513738,47.1871539608293,"H"
"10",2021-08-13,45.98857958601,43.07187,85.1515,48.5914570366813,43.3857021353387,"H"
"11",2021-08-23,38.9521770164168,43.07187,85.1515,41.7803948177392,36.1239592150945,"A"
"12",2021-09-02,51.4851936218679,43.07187,85.1515,53.9452074247235,49.0251798190123,"H"
"13",2021-09-07,49.4123006833713,43.07187,85.1515,51.9233843391053,46.9012170276373,"H"
"14",2021-09-22,44.4009111617312,43.07187,85.1515,47.0499161604886,41.7519061629738,"H"
"15",2021-10-22,39.0355486862442,43.07187,85.1515,41.8607446358901,36.2103527365983,"A"
"16",2021-12-06,65.5701269118126,43.07187,85.1515,67.7499723794266,63.3902814441985,"H"
"17",2021-12-26,70.9835831548894,43.07187,85.1515,73.0786590493706,68.8885072604081,"H"
